Customer_ID,Age,Gender,Education_Level,Marital_Status,Number_of_Dependents,City,State,Country,Employment_Status,Years_at_Current_Job,Income,Loan_Amount,Interest_Rate,Assets_Value,Debt_to_Income_Ratio,Loan_Purpose,Loan_Status,Credit_Score,Previous_Defaults,Payment_History,Risk_Rating,Loan_to_Income,Income_Group,Loan_Group,Credit_Group,Age_Group,Risk_Score,High_Risk_Flag,Default_Flag
CUST0001,49,Male,PhD,Divorced,0,Mumbai,Maharashtra,India,Unemployed,19,72799.0,45713.0,0.09,120228.0,0.1543132963127,Business,Approved,688.0,2,Poor,Medium,0.6279344496490337,High,Very Large,Good,Mid-Age,70.829398889381,1,1
CUST0002,57,Female,Bachelor's,Widowed,0,Delhi,Delhi,India,Employed,6,70605.0,33835.0,0.09,55849.0,0.148919643224715,Auto,Rejected,690.0,3,Fair,High,0.47921535302032436,High,Very Large,Good,Mid-Age,75.46758929674145,0,1
CUST0003,21,Non-binary,Master's,Single,3,Bangalore,Karnataka,India,Employed,8,55687.0,36623.0,0.12,180700.0,0.36239801732546,Home,Rejected,600.0,3,Fair,High,0.6576579812164419,Medium,Very Large,Fair,Young,90.8719405197638,1,1
CUST0004,59,Male,Bachelor's,Single,3,Chennai,Tamil Nadu,India,Unemployed,2,26508.0,26541.0,0.12,157319.0,0.454964380733794,Personal,Rejected,622.0,4,Excellent,High,1.001244907197827,Low,Large,Fair,Mid-Age,96.44893142201383,1,1
CUST0005,25,Non-binary,Bachelor's,Widowed,2,Hyderabad,Telangana,India,Unemployed,10,49427.0,36528.0,0.06,287140.0,0.143242424020461,Personal,Approved,766.0,3,Fair,Medium,0.7390292754971979,Medium,Very Large,Excellent,Young,67.69727272061382,0,1
CUST0006,30,Non-binary,PhD,Divorced,4,Pune,Maharashtra,India,Unemployed,5,70605.0,15613.0,0.09,159503.0,0.295984450043085,Business,Rejected,717.0,3,Fair,High,0.22113164790029036,High,Large,Good,Young,77.17953350129255,0,1
CUST0007,31,Non-binary,Master's,Widowed,2,Kolkata,West Bengal,India,Self-employed,1,45280.0,6553.0,0.09,159503.0,0.378889937415317,Personal,Approved,672.0,0,Good,Low,0.14472173144876324,Medium,Medium,Good,Adult,34.16669812245951,0,0
CUST0008,18,Male,Bachelor's,Widowed,1,Ahmedabad,Gujarat,India,Unemployed,10,93678.0,27748.0,0.15,246597.0,0.396635723616467,Business,Rejected,699.0,1,Poor,Medium,0.29620615299216463,High,Large,Good,Young,61.99907170849401,1,0
CUST0009,32,Non-binary,Bachelor's,Widowed,0,Jaipur,Rajasthan,India,Unemployed,4,20205.0,27748.0,0.09,227599.0,0.335964977578598,Auto,Rejected,710.0,4,Fair,High,1.373323434793368,Low,Large,Good,Adult,94.07894932735795,0,1
CUST0010,55,Male,Bachelor's,Married,4,Lucknow,Uttar Pradesh,India,Self-employed,5,32190.0,29918.0,0.12,130507.0,0.484333304559367,Personal,Rejected,600.0,2,Excellent,Medium,0.9294190742466605,Medium,Large,Fair,Mid-Age,69.52999913678102,1,1
CUST0011,42,Non-binary,Master's,Single,3,Mumbai,Maharashtra,India,Employed,11,116212.0,24771.0,0.09,212198.0,0.114133747598295,Home,Approved,707.0,0,Excellent,Low,0.21315354696588992,High,Large,Good,Adult,17.72401242794885,0,0
CUST0012,37,Non-binary,Master's,Divorced,2,Delhi,Delhi,India,Self-employed,17,78855.0,27748.0,0.09,272522.0,0.19392128861142,Home,Approved,718.0,3,Poor,High,0.3518863737239237,High,Large,Good,Adult,84.0176386583426,1,1
CUST0013,60,Female,PhD,Divorced,4,Bangalore,Karnataka,India,Self-employed,18,70605.0,15497.0,0.09,47603.0,0.328174707422527,Personal,Rejected,686.0,2,Poor,High,0.21948870476595142,High,Large,Good,Mid-Age,76.24524122267582,1,1
CUST0014,68,Male,High School,Divorced,2,Chennai,Tamil Nadu,India,Self-employed,15,79454.0,43365.0,0.09,61967.0,0.329281543850365,Personal,Approved,688.0,3,Good,High,0.5457874996853526,High,Very Large,Good,Senior,76.07844631551094,0,1
CUST0015,29,Male,High School,Divorced,2,Hyderabad,Telangana,India,Employed,17,119510.0,5013.0,0.15,50568.0,0.499721861193341,Auto,Rejected,699.0,2,Poor,High,0.04194628064597105,High,Medium,Good,Young,80.09165583580022,1,1
